Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
28/01/2023,2022,Giannina,Atromitos,2.2,3.2,3.5,1.0,1.0,D,2,2,6,9,0,1,33,33,1,3,3,7,0,0,33,33
28/01/2023,2022,Volos NFC,Panetolikos,2.0,3.3,4.0,2.0,3.0,A,2,3,5,15,0,3,44,11,1,2,5,7,0,1,44,11
22/01/2023,2022,Atromitos,Olympiakos,8.0,4.75,1.4,1.0,1.0,D,2,1,5,3,0,0,44,44,3,0,10,3,1,0,44,44
22/01/2023,2022,Panathinaikos,PAOK,2.15,3.1,3.75,0.0,3.0,A,3,0,6,2,0,0,78,22,3,1,9,3,2,0,78,22
22/01/2023,2022,Levadeiakos,Lamia,2.25,3.0,3.6,0.0,0.0,D,1,3,3,6,0,0,22,33,0,4,0,13,0,3,22,33
22/01/2023,2022,Ionikos,AEK,13.0,6.5,1.22,1.0,2.0,A,0,3,2,8,0,1,0,56,2,1,8,3,1,0,0,56
21/01/2023,2022,Aris,Volos NFC,1.45,4.5,7.5,3.0,0.0,H,4,0,12,2,2,0,67,22,1,1,3,5,0,1,67,22
21/01/2023,2022,OFI Crete,Asteras Tripolis,2.25,3.2,3.4,1.0,0.0,H,1,2,2,4,0,0,11,33,0,4,3,14,0,2,11,33
20/01/2023,2022,Panetolikos,Giannina,2.45,3.0,3.2,1.0,1.0,D,1,3,2,7,0,1,22,11,1,2,7,8,0,0,22,11
16/01/2023,2022,Ionikos,Volos NFC,2.8,3.3,2.55,0.0,1.0,A,0,2,4,9,0,1,0,62,1,1,4,5,0,1,0,62
15/01/2023,2022,Giannina,Panathinaikos,8.0,3.5,1.57,0.0,1.0,A,2,1,8,10,0,1,38,38,3,1,8,3,1,0,38,38
15/01/2023,2022,Olympiakos,Aris,1.4,4.33,9.5,1.0,0.0,H,3,1,10,2,1,0,62,25,1,2,5,3,1,0,62,25
15/01/2023,2022,Asteras Tripolis,Levadeiakos,1.65,3.6,6.0,0.0,0.0,D,2,0,5,1,1,0,38,50,0,4,3,7,0,0,38,50
15/01/2023,2022,AEK,Panetolikos,1.14,8.0,19.0,4.0,1.0,H,5,0,10,0,2,0,88,0,2,1,8,4,1,0,88,0
14/01/2023,2022,PAOK,OFI Crete,1.4,4.33,9.5,0.0,0.0,D,3,1,9,4,1,0,75,12,1,1,8,7,1,1,75,12
14/01/2023,2022,Lamia,Atromitos,2.7,3.0,2.9,1.0,1.0,D,0,3,4,11,0,1,12,38,1,4,2,7,0,0,12,38
09/01/2023,2022,Panetolikos,OFI Crete,2.4,3.0,3.25,0.0,4.0,A,1,3,2,5,0,0,25,12,0,2,4,9,0,1,25,12
08/01/2023,2022,AEK,Panathinaikos,1.91,3.3,4.5,1.0,0.0,H,5,0,13,1,3,0,86,0,4,0,10,2,1,0,86,0
08/01/2023,2022,Aris,Asteras Tripolis,1.6,3.8,5.75,3.0,0.0,H,3,1,9,4,1,0,62,25,0,4,3,12,0,1,62,25
08/01/2023,2022,Atromitos,Ionikos,1.75,3.5,5.0,2.0,0.0,H,2,1,5,4,0,0,38,50,1,4,4,8,0,1,38,50
08/01/2023,2022,Volos NFC,Olympiakos,10.0,4.75,1.33,0.0,4.0,A,3,2,7,11,0,2,50,12,3,0,8,3,0,0,50,12
07/01/2023,2022,Lamia,PAOK,7.0,3.8,1.53,0.0,3.0,A,1,2,5,8,0,0,14,43,3,1,8,4,1,0,14,43
07/01/2023,2022,Levadeiakos,Giannina,2.4,3.0,3.25,1.0,3.0,A,2,2,4,4,0,0,25,38,0,3,5,9,0,0,25,38
04/01/2023,2022,PAOK,Aris,1.91,3.25,4.5,1.0,0.0,H,3,1,9,4,1,0,71,14,1,2,5,4,1,0,71,14
04/01/2023,2022,Panetolikos,Atromitos,2.25,3.2,3.4,2.0,0.0,H,0,4,2,8,0,0,14,14,1,4,2,7,0,0,14,14
04/01/2023,2022,Asteras Tripolis,Lamia,1.75,3.25,5.5,3.0,0.0,H,2,0,4,1,0,0,29,57,0,3,1,11,0,2,29,57
03/01/2023,2022,Ionikos,Olympiakos,13.0,5.25,1.25,0.0,2.0,A,0,1,5,8,0,1,0,71,3,0,8,4,0,0,0,71
03/01/2023,2022,Giannina,AEK,11.0,4.5,1.33,2.0,1.0,H,1,2,7,13,0,2,29,43,3,0,9,1,1,0,29,43
03/01/2023,2022,Levadeiakos,Panathinaikos,12.0,4.5,1.33,0.0,1.0,A,2,2,4,5,0,0,29,43,4,0,11,3,1,0,29,43
03/01/2023,2022,OFI Crete,Volos NFC,2.25,3.3,3.2,0.0,0.0,D,1,3,3,6,0,0,12,25,2,1,7,7,0,1,12,25
29/12/2022,2022,Lamia,Giannina,2.1,3.2,3.8,1.0,1.0,D,1,2,4,7,0,0,17,33,0,4,4,11,0,1,17,33
29/12/2022,2022,Aris,Panetolikos,1.45,4.0,8.5,1.0,0.0,H,3,1,10,5,1,0,57,29,3,0,10,4,1,0,57,29
28/12/2022,2022,Panathinaikos,OFI Crete,1.33,4.75,11.0,1.0,1.0,D,4,0,8,1,1,0,88,12,1,2,4,8,0,1,88,12
28/12/2022,2022,Atromitos,PAOK,5.0,3.6,1.73,1.0,1.0,D,2,1,4,3,0,0,43,43,3,1,8,4,1,0,43,43
28/12/2022,2022,Volos NFC,AEK,8.0,3.8,1.5,0.0,4.0,A,4,1,9,7,0,1,57,14,3,0,7,1,0,0,57,14
